x, y
0.027522935779816515, 39.76331360946746
0.05198776758409786, 39.52662721893491
0.0764525993883792, 39.289940828402365
0.10703363914373089, 39.013806706114394
0.1345565749235474, 38.73767258382643
0.16819571865443425, 38.38264299802761
0.19877675840978593, 38.06706114398422
0.23853211009174313, 37.7120315581854
0.27217125382262997, 37.396449704142015
0.30275229357798167, 37.120315581854044
0.327217125382263, 36.84418145956607
0.3547400611620795, 36.5680473372781
0.3853211009174312, 36.252465483234715
0.41590214067278286, 35.93688362919132
0.4525993883792049, 35.62130177514793
0.4831804281345566, 35.30571992110454
0.5229357798165137, 34.91124260355029
0.5504587155963303, 34.63510848126233
0.5840978593272171, 34.28007889546351
0.6146788990825688, 34.00394477317554
0.6574923547400612, 33.6094674556213
0.6850152905198776, 33.25443786982248
0.7308868501529052, 32.82051282051282
0.764525993883792, 32.465483234714
0.8042813455657493, 32.11045364891519
0.8348623853211009, 31.794871794871796
0.8654434250764526, 31.439842209072978
0.9051987767584098, 31.045364891518737
0.9418960244648318, 30.729783037475343
0.9755351681957186, 30.414201183431953
1.0091743119266054, 30.098619329388562
1.0489296636085628, 29.664694280078898
1.0795107033639144, 29.388560157790927
1.1131498470948011, 29.03353057199211
1.146788990825688, 28.717948717948715
1.1773700305810397, 28.3629191321499
1.201834862385321, 28.086785009861934
1.2293577981651376, 27.810650887573964
1.2599388379204892, 27.495069033530573
1.2966360856269112, 27.17948717948718
1.3211009174311927, 26.942800788954635
1.345565749235474, 26.70611439842209
1.3730886850152906, 26.390532544378697
1.4006116207951071, 26.074950690335307
1.4342507645259939, 25.759368836291912
1.4801223241590213, 25.285996055226825
1.5168195718654434, 24.891518737672584
1.5565749235474007, 24.57593688362919
1.5963302752293578, 24.142011834319526
1.6422018348623852, 23.668639053254438
1.691131498470948, 23.19526627218935
1.72782874617737, 22.761341222879686
1.761467889908257, 22.445759368836292
1.798165137614679, 22.090729783037474
1.8409785932721712, 21.617357001972387
1.8837920489296636, 21.222879684418146
1.9296636085626913, 20.74950690335306
1.963302752293578, 20.355029585798817
